"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Longitudinal Acceleration"	"Latitude"	"GPS Lateral Acceleration"	"Heading"	"RPM"	"GPS Distance"	"GPS Longitudinal Acceleration"	"Lateral Acceleration"	"Longitude"	"GPS Speed"	"Number of Satellites"	"Throttle Position"
2021-04-23	20:49:32	1	7900000000	6841084332	0.450000	40.582973	-0.763582	216.300000	0.000000	239.801297	0.000000	0.640000	-112.378661	73.500000	14.000000	0.000000
2021-04-23	20:49:32	1	8000000000	6941084332	0.440000	40.582958	-0.854484	214.300000	0.000000	241.844292	0.070862	0.660000	-112.378675	73.500000	14.000000	0.000000
2021-04-23	20:49:32	1	8100000000	7041084332	0.440000	40.582942	-0.915210	211.600000	0.000000	243.893592	0.113379	0.650000	-112.378688	74.000000	14.000000	0.000000
2021-04-23	20:49:32	1	8200000000	7141084332	0.410000	40.582926	-0.900542	209.300000	0.000000	245.954712	0.113379	0.660000	-112.378700	74.300000	14.000000	0.000000
2021-04-23	20:49:32	1	8300000000	7241084332	0.430000	40.582910	-0.943606	206.700000	0.000000	248.024834	0.141723	0.680000	-112.378711	74.800000	14.000000	0.000000
2021-04-23	20:49:32	1	8400000000	7341084332	0.450000	40.582892	-0.875411	204.200000	0.000000	250.108330	0.085034	0.690000	-112.378721	75.300000	14.000000	0.000000
2021-04-23	20:49:32	1	8500000000	7441084332	0.480000	40.582875	-0.839272	202.000000	0.000000	252.200155	0.014172	0.700000	-112.378731	75.400000	14.000000	0.000000
2021-04-23	20:49:32	1	8600000000	7541084332	0.490000	40.582857	-0.876573	199.700000	0.000000	254.293628	-0.028345	0.720000	-112.378739	75.400000	14.000000	0.000000
2021-04-23	20:49:32	1	8700000000	7641084332	0.480000	40.582839	-0.892849	197.300000	0.000000	256.387049	0.042517	0.720000	-112.378747	75.200000	14.000000	0.000000
2021-04-23	20:49:32	1	8800000000	7741084332	0.470000	40.582820	-0.898786	194.900000	0.000000	258.485050	0.170068	0.720000	-112.378754	75.700000	14.000000	0.000000
2021-04-23	20:49:32	1	8900000000	7841084332	0.490000	40.582802	-0.850403	192.500000	0.000000	260.600111	0.184240	0.720000	-112.378759	76.400000	14.000000	0.000000
2021-04-23	20:49:32	1	9000000000	7941084332	0.500000	40.582783	-0.857082	190.400000	0.000000	262.726750	0.070862	0.720000	-112.378764	77.000000	14.000000	0.000000
2021-04-23	20:49:32	1	9100000000	8041084332	0.490000	40.582764	-0.894012	188.000000	0.000000	264.865031	0.099206	0.700000	-112.378768	76.900000	14.000000	0.000000
2021-04-23	20:49:32	1	9200000000	8141084332	0.490000	40.582745	-0.864873	185.700000	0.000000	267.013103	0.127551	0.690000	-112.378771	77.700000	14.000000	0.000000
2021-04-23	20:49:32	1	9300000000	8241084332	0.530000	40.582725	-0.865986	183.500000	0.000000	269.172274	0.070862	0.700000	-112.378773	77.800000	14.000000	0.000000
2021-04-23	20:49:32	1	9400000000	8341084332	0.530000	40.582706	-0.986497	181.200000	0.000000	271.337661	0.056689	0.700000	-112.378774	78.200000	13.000000	0.000000
2021-04-23	20:49:32	1	9500000000	8441084332	0.530000	40.582686	-0.947811	178.400000	0.000000	273.510406	0.085034	0.700000	-112.378774	78.200000	13.000000	0.000000
2021-04-23	20:49:32	1	9600000000	8541084332	0.560000	40.582666	-0.818643	176.300000	0.000000	275.694219	0.155896	0.700000	-112.378773	78.800000	13.000000	0.000000
2021-04-23	20:49:32	1	9700000000	8641084332	0.540000	40.582646	-0.804222	174.200000	0.000000	277.887486	0.099206	0.680000	-112.378770	79.300000	13.000000	0.000000
2021-04-23	20:49:32	1	9800000000	8741084332	0.520000	40.582626	-0.806250	172.200000	0.000000	280.092543	0.070862	0.660000	-112.378767	79.500000	13.000000	0.000000
2021-04-23	20:49:32	1	9900000000	8841084332	0.520000	40.582606	-0.809293	170.100000	0.000000	282.305135	0.070862	0.670000	-112.378762	79.800000	14.000000	0.000000
2021-04-23	20:49:32	1	10000000000	8941084332	0.520000	40.582586	-0.831110	168.100000	0.000000	284.526250	0.113379	0.660000	-112.378757	80.000000	14.000000	0.000000
2021-04-23	20:49:32	1	10100000000	9041084332	0.500000	40.582566	-0.837343	165.900000	0.000000	286.754933	0.099206	0.660000	-112.378750	80.600000	14.000000	0.000000
2021-04-23	20:49:32	1	10200000000	9141084332	0.500000	40.582547	-0.798459	163.900000	0.000000	288.994737	0.070862	0.670000	-112.378743	80.700000	14.000000	0.000000
2021-04-23	20:49:32	1	10300000000	9241084332	0.520000	40.582527	-0.782356	161.900000	0.000000	291.244153	0.113379	0.670000	-112.378735	81.100000	14.000000	0.000000
2021-04-23	20:49:32	1	10400000000	9341084332	0.520000	40.582508	-0.766055	160.000000	0.000000	293.501621	0.127551	0.670000	-112.378726	81.500000	14.000000	0.000000
2021-04-23	20:49:32	1	10500000000	9441084332	0.510000	40.582489	-0.851887	158.100000	0.000000	295.773002	0.170068	0.660000	-112.378716	82.000000	13.000000	0.000000
2021-04-23	20:49:32	1	10600000000	9541084332	0.500000	40.582471	-0.797791	155.800000	0.000000	298.060705	0.170068	0.670000	-112.378705	82.700000	13.000000	0.000000
2021-04-23	20:49:32	1	10700000000	9641084332	0.490000	40.582452	-0.699715	154.200000	0.000000	300.363197	0.042517	0.660000	-112.378693	83.200000	13.000000	0.000000
2021-04-23	20:49:32	1	10800000000	9741084332	0.460000	40.582434	-0.718563	152.400000	0.000000	302.671175	0.042517	0.620000	-112.378681	83.000000	13.000000	0.000000
2021-04-23	20:49:32	1	10900000000	9841084332	0.420000	40.582415	-0.722892	150.700000	0.000000	304.984084	0.070862	0.590000	-112.378668	83.500000	13.000000	0.000000
2021-04-23	20:49:32	1	11000000000	9941084332	0.510000	40.582397	-0.764200	148.900000	0.000000	307.303948	0.056689	0.630000	-112.378654	83.500000	13.000000	0.000000
2021-04-23	20:49:32	1	11100000000	10041084332	0.470000	40.582379	-0.809367	147.000000	0.000000	309.629201	0.113379	0.610000	-112.378639	83.900000	13.000000	0.000000
2021-04-23	20:49:32	1	11200000000	10141084332	0.470000	40.582362	-0.896634	145.000000	0.000000	311.964632	0.085034	0.690000	-112.378623	84.300000	13.000000	0.000000
2021-04-23	20:49:32	1	11300000000	10241084332	0.480000	40.582345	-0.919662	142.700000	0.000000	314.308849	0.070862	0.750000	-112.378607	84.500000	13.000000	0.000000
2021-04-23	20:49:32	1	11400000000	10341084332	0.530000	40.582329	-0.818049	140.600000	0.000000	316.660945	0.070862	0.740000	-112.378589	84.800000	14.000000	0.000000
2021-04-23	20:49:32	1	11500000000	10441084332	0.490000	40.582312	-0.798954	138.800000	0.000000	319.018107	0.056689	0.710000	-112.378571	85.000000	14.000000	0.000000
2021-04-23	20:49:32	1	11600000000	10541084332	0.460000	40.582297	-0.906206	136.800000	0.000000	321.380979	0.000000	0.720000	-112.378552	85.200000	14.000000	0.000000
2021-04-23	20:49:32	1	11700000000	10641084332	0.460000	40.582281	-0.946129	134.500000	0.000000	323.742249	-0.085034	0.760000	-112.378532	85.000000	14.000000	0.000000
2021-04-23	20:49:32	1	11800000000	10741084332	0.420000	40.582267	-0.899824	132.300000	0.000000	326.097713	-0.141723	0.800000	-112.378512	84.600000	14.000000	0.000000
2021-04-23	20:49:32	1	11900000000	10841084332	0.380000	40.582253	-0.976554	130.200000	0.000000	328.440471	-0.099206	0.830000	-112.378491	84.000000	14.000000	0.000000
2021-04-23	20:49:32	1	12000000000	10941084332	0.380000	40.582240	-0.996144	127.600000	0.000000	330.772486	-0.099206	0.860000	-112.378469	83.900000	14.000000	0.000000
2021-04-23	20:49:32	1	12100000000	11041084332	0.380000	40.582227	-0.927207	125.400000	0.000000	333.091791	-0.170068	0.860000	-112.378447	83.300000	14.000000	0.000000
2021-04-23	20:49:32	1	12200000000	11141084332	0.380000	40.582216	-0.940984	123.100000	0.000000	335.400397	-0.127551	0.890000	-112.378424	82.700000	14.000000	0.000000
2021-04-23	20:49:32	1	12300000000	11241084332	0.390000	40.582205	-0.937571	120.800000	0.000000	337.694457	-0.070862	0.890000	-112.378401	82.400000	14.000000	0.000000
2021-04-23	20:49:32	1	12400000000	11341084332	0.410000	40.582195	-0.914963	118.500000	0.000000	339.982738	0.028345	0.900000	-112.378377	82.200000	14.000000	0.000000
2021-04-23	20:49:32	1	12500000000	11441084332	0.410000	40.582185	-0.858121	116.300000	0.000000	342.271496	0.056689	0.870000	-112.378352	82.600000	14.000000	0.000000
