"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"GPS Longitudinal Acceleration"	"RPM"	"Longitudinal Acceleration"	"Heading"	"Latitude"	"GPS Lateral Acceleration"	"Lateral Acceleration"	"Number of Satellites"	"Longitude"	"GPS Distance"	"Throttle Position"	"GPS Speed"
2021-05-21	19:44:00	1	7000000000	5992742438	0.283447	0.000000	0.250000	266.500000	40.583179	-0.022386	0.000000	16.000000	-112.383697	117.445306	0.000000	90.500000
2021-05-21	19:44:00	1	7100000000	6092742438	0.170068	0.000000	0.250000	266.500000	40.583178	0.000000	0.010000	16.000000	-112.383727	119.966853	0.000000	91.200000
2021-05-21	19:44:00	1	7200000000	6192742438	0.099206	0.000000	0.240000	266.500000	40.583176	0.022682	-0.010000	16.000000	-112.383757	122.506157	0.000000	91.700000
2021-05-21	19:44:00	1	7300000000	6292742438	0.028345	0.000000	0.200000	266.600000	40.583175	0.000000	-0.020000	16.000000	-112.383787	125.055199	0.000000	91.900000
2021-05-21	19:44:00	1	7400000000	6392742438	-0.028345	0.000000	0.140000	266.500000	40.583173	-0.022732	0.010000	16.000000	-112.383817	127.606547	0.000000	91.900000
2021-05-21	19:44:00	1	7500000000	6492742438	-0.085034	0.000000	0.090000	266.500000	40.583172	-0.022682	0.010000	16.000000	-112.383847	130.155554	0.000000	91.700000
2021-05-21	19:44:00	1	7600000000	6592742438	-0.085034	0.000000	0.050000	266.400000	40.583170	-0.022583	0.020000	16.000000	-112.383878	132.696982	0.000000	91.300000
2021-05-21	19:44:00	1	7700000000	6692742438	0.000000	0.000000	0.040000	266.400000	40.583169	0.022534	0.030000	16.000000	-112.383908	135.231745	0.000000	91.100000
2021-05-21	19:44:00	1	7800000000	6792742438	-0.028345	0.000000	0.010000	266.500000	40.583167	0.045167	0.000000	16.000000	-112.383938	137.764406	0.000000	91.300000
2021-05-21	19:44:00	1	7900000000	6892742438	-0.085034	0.000000	0.010000	266.600000	40.583166	0.044969	-0.010000	16.000000	-112.383968	140.294098	0.000000	90.900000
2021-05-21	19:44:00	1	8000000000	6992742438	-0.042517	0.000000	-0.010000	266.700000	40.583164	0.000000	-0.030000	16.000000	-112.383998	142.817023	0.000000	90.700000
2021-05-21	19:44:00	1	8100000000	7092742438	-0.014172	0.000000	-0.040000	266.600000	40.583163	-0.022410	-0.040000	16.000000	-112.384028	145.335444	0.000000	90.600000
2021-05-21	19:44:00	1	8200000000	7192742438	-0.056689	0.000000	-0.050000	266.600000	40.583161	0.000000	-0.070000	16.000000	-112.384057	147.851443	0.000000	90.600000
2021-05-21	19:44:00	1	8300000000	7292742438	0.014172	0.000000	-0.040000	266.600000	40.583160	0.066934	-0.070000	16.000000	-112.384086	150.364092	0.000000	90.200000
2021-05-21	19:44:00	1	8400000000	7392742438	0.099206	0.000000	-0.030000	266.900000	40.583158	0.089740	-0.070000	16.000000	-112.384117	152.878366	0.000000	90.700000
2021-05-21	19:44:00	1	8500000000	7492742438	0.155896	0.000000	-0.010000	267.000000	40.583157	0.000000	-0.060000	16.000000	-112.384147	155.403590	0.000000	90.900000
2021-05-21	19:44:00	1	8600000000	7592742438	0.226757	0.000000	0.050000	266.900000	40.583156	0.022707	-0.060000	16.000000	-112.384177	157.940578	0.000000	91.800000
2021-05-21	19:44:00	1	8700000000	7692742438	0.170068	0.000000	0.090000	267.100000	40.583154	0.068641	-0.040000	15.000000	-112.384207	160.499021	0.000000	92.500000
2021-05-21	19:44:00	1	8800000000	7792742438	0.184240	0.000000	0.100000	267.200000	40.583153	0.023004	-0.050000	16.000000	-112.384237	163.075718	0.000000	93.000000
2021-05-21	19:44:00	1	8900000000	7892742438	0.198413	0.000000	0.120000	267.200000	40.583152	0.046404	-0.050000	15.000000	-112.384269	165.673159	0.000000	93.800000
2021-05-21	19:44:00	1	9000000000	7992742438	0.170068	0.000000	0.150000	267.400000	40.583151	0.070051	-0.040000	15.000000	-112.384300	168.284604	0.000000	94.400000
2021-05-21	19:44:00	1	9100000000	8092742438	0.170068	0.000000	0.150000	267.500000	40.583150	0.046997	-0.060000	16.000000	-112.384331	170.914878	0.000000	95.000000
2021-05-21	19:44:00	1	9200000000	8192742438	0.155896	0.000000	0.180000	267.600000	40.583149	0.070941	-0.050000	16.000000	-112.384363	173.561903	0.000000	95.600000
2021-05-21	19:44:00	1	9300000000	8292742438	0.170068	0.000000	0.170000	267.800000	40.583148	0.095083	-0.070000	15.000000	-112.384394	176.226867	0.000000	96.100000
2021-05-21	19:44:00	1	9400000000	8392742438	0.198413	0.000000	0.180000	268.000000	40.583148	0.119719	-0.080000	15.000000	-112.384427	178.904669	0.000000	96.800000
2021-05-21	19:44:00	1	9500000000	8492742438	0.184240	0.000000	0.200000	268.300000	40.583147	0.120585	-0.080000	15.000000	-112.384459	181.602621	0.000000	97.500000
2021-05-21	19:44:00	1	9600000000	8592742438	0.184240	0.000000	0.190000	268.500000	40.583146	0.097062	-0.070000	15.000000	-112.384491	184.319290	0.000000	98.100000
2021-05-21	19:44:00	1	9700000000	8692742438	0.184240	0.000000	0.190000	268.700000	40.583146	0.122193	-0.080000	15.000000	-112.384524	187.054452	0.000000	98.800000
2021-05-21	19:44:00	1	9800000000	8792742438	0.184240	0.000000	0.200000	269.000000	40.583145	0.098348	-0.090000	16.000000	-112.384556	189.809102	0.000000	99.400000
2021-05-21	19:44:00	1	9900000000	8892742438	0.198413	0.000000	0.200000	269.100000	40.583145	0.074280	-0.100000	16.000000	-112.384590	192.577803	0.000000	100.100000
2021-05-21	19:44:00	1	10000000000	8992742438	0.184240	0.000000	0.200000	269.300000	40.583144	0.074800	-0.080000	16.000000	-112.384623	195.367767	0.000000	100.800000
2021-05-21	19:44:00	1	10100000000	9092742438	0.212585	0.000000	0.210000	269.400000	40.583144	0.000000	-0.050000	16.000000	-112.384656	198.176816	0.000000	101.400000
2021-05-21	19:44:00	1	10200000000	9192742438	0.198413	0.000000	0.210000	269.300000	40.583144	-0.025304	-0.050000	16.000000	-112.384689	201.007967	0.000000	102.300000
2021-05-21	19:44:00	1	10300000000	9292742438	0.184240	0.000000	0.190000	269.300000	40.583143	0.076284	-0.060000	16.000000	-112.384723	203.853738	0.000000	102.800000
2021-05-21	19:44:00	1	10400000000	9392742438	0.198413	0.000000	0.190000	269.600000	40.583143	0.102504	-0.060000	16.000000	-112.384757	206.720495	0.000000	103.600000
2021-05-21	19:44:00	1	10500000000	9492742438	0.184240	0.000000	0.180000	269.700000	40.583143	0.025774	-0.070000	16.000000	-112.384791	209.606546	0.000000	104.200000
