"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Longitude"	"GPS Distance"	"Lateral Acceleration"	"GPS Lateral Acceleration"	"Longitudinal Acceleration"	"Latitude"	"GPS Longitudinal Acceleration"	"GPS Speed"
2021-05-21	13:43:39	0	18000000000	18000000000	-112.385373	587.732243	0.814028	0.889671	0.599535	40.581050	-0.028743	126.202206
2021-05-21	13:43:39	0	18100000000	18100000000	-112.385345	591.234871	0.867338	0.915227	0.548614	40.581026	-0.037793	126.009682
2021-05-21	13:43:39	0	18200000000	18200000000	-112.385318	594.732333	0.879720	0.934028	0.537210	40.581002	-0.044899	125.809693
2021-05-21	13:43:39	0	18300000000	18300000000	-112.385292	598.224507	0.875874	0.948272	0.559229	40.580978	-0.050699	125.609679
2021-05-21	13:43:39	0	18400000000	18400000000	-112.385267	601.712145	0.891689	0.961083	0.580988	40.580953	-0.055829	125.504687
2021-05-21	13:43:39	0	18500000000	18500000000	-112.385243	605.195220	0.915978	0.975040	0.576368	40.580928	-0.062139	125.309684
2021-05-21	13:43:39	0	18600000000	18600000000	-112.385220	608.671969	0.940762	0.990272	0.548069	40.580902	-0.070328	125.014698
2021-05-21	13:43:39	0	18700000000	18700000000	-112.385197	612.141926	0.971265	1.007990	0.528670	40.580876	-0.079825	124.809687
2021-05-21	13:43:39	0	18800000000	18800000000	-112.385176	615.605571	0.983402	1.027046	0.527764	40.580849	-0.090595	124.609687
2021-05-21	13:43:39	0	18900000000	18900000000	-112.385156	619.061105	0.971045	1.047376	0.520446	40.580822	-0.101430	124.219703
2021-05-21	13:43:39	0	19000000000	19000000000	-112.385137	622.506046	0.971724	1.067770	0.505101	40.580795	-0.111659	123.819702
2021-05-21	13:43:39	0	19100000000	19100000000	-112.385120	625.939895	1.001906	1.086348	0.495745	40.580767	-0.118829	123.419699
2021-05-21	13:43:39	0	19200000000	19200000000	-112.385103	629.362379	1.040623	1.102409	0.486033	40.580739	-0.122812	123.019697
2021-05-21	13:43:39	0	19300000000	19300000000	-112.385088	632.772732	1.067556	1.115920	0.478329	40.580711	-0.124214	122.524698
2021-05-21	13:43:39	0	19400000000	19400000000	-112.385074	636.170728	1.082267	1.125066	0.484009	40.580683	-0.121856	122.119698
2021-05-21	13:43:39	0	19500000000	19500000000	-112.385061	639.557364	1.097978	1.129750	0.488266	40.580654	-0.116885	121.719708
2021-05-21	13:43:39	0	19600000000	19600000000	-112.385049	642.932879	1.117157	1.131184	0.478598	40.580625	-0.108759	121.319706
2021-05-21	13:43:39	0	19700000000	19700000000	-112.385039	646.297537	1.126904	1.131248	0.476458	40.580596	-0.097446	120.919705
2021-05-21	13:43:39	0	19800000000	19800000000	-112.385030	649.652356	1.122555	1.130037	0.499446	40.580567	-0.084764	120.614711
2021-05-21	13:43:39	0	19900000000	19900000000	-112.385022	652.998837	1.112478	1.128762	0.531013	40.580538	-0.068990	120.314715
