"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Longitude"	"GPS Distance"	"GPS Lateral Acceleration"	"Longitudinal Acceleration"	"Latitude"	"GPS Longitudinal Acceleration"	"Lateral Acceleration"	"GPS Speed"
2021-05-22	08:32:58	0	8200000000	8200000000	-112.386111	294.852371	-0.988819	0.741414	40.583107	0.017399	-1.009166	108.413738
2021-05-22	08:32:58	0	8300000000	8300000000	-112.386145	297.865858	-1.011450	0.722449	40.583099	0.010580	-1.049227	108.592732
2021-05-22	08:32:58	0	8400000000	8400000000	-112.386178	300.880559	-1.029799	0.720352	40.583089	-0.002345	-1.091655	108.496236
2021-05-22	08:32:58	0	8500000000	8500000000	-112.386211	303.893711	-1.046280	0.726564	40.583079	-0.017596	-1.113108	108.446239
2021-05-22	08:32:58	0	8600000000	8600000000	-112.386243	306.904891	-1.061531	0.711532	40.583067	-0.032076	-1.094364	108.385743
2021-05-22	08:32:58	0	8700000000	8700000000	-112.386275	309.912885	-1.076145	0.676698	40.583055	-0.043962	-1.072101	108.192742
2021-05-22	08:32:58	0	8800000000	8800000000	-112.386306	312.916652	-1.090121	0.658563	40.583042	-0.052662	-1.081667	108.085737
2021-05-22	08:32:58	0	8900000000	8900000000	-112.386336	315.915725	-1.103460	0.666686	40.583029	-0.058130	-1.103892	107.878737
2021-05-22	08:32:58	0	9000000000	9000000000	-112.386366	318.908352	-1.116117	0.675338	40.583014	-0.059908	-1.123313	107.585739
2021-05-22	08:32:58	0	9100000000	9100000000	-112.386395	321.894242	-1.127455	0.679389	40.582999	-0.059819	-1.151057	107.385738
2021-05-22	08:32:58	0	9200000000	9200000000	-112.386423	324.874393	-1.136926	0.691156	40.582983	-0.058544	-1.177605	107.185750
2021-05-22	08:32:58	0	9300000000	9300000000	-112.386451	327.849010	-1.145077	0.704255	40.582966	-0.057270	-1.188957	106.985737
2021-05-22	08:32:58	0	9400000000	9400000000	-112.386477	330.818406	-1.151349	0.715344	40.582949	-0.056122	-1.189531	106.793741
2021-05-22	08:32:58	0	9500000000	9500000000	-112.386503	333.783325	-1.156970	0.726290	40.582931	-0.056836	-1.169219	106.687742
2021-05-22	08:32:58	0	9600000000	9600000000	-112.386527	336.743572	-1.160717	0.714984	40.582912	-0.058748	-1.134570	106.481736
2021-05-22	08:32:58	0	9700000000	9700000000	-112.386551	339.697378	-1.163152	0.684711	40.582892	-0.060660	-1.136976	106.187745
2021-05-22	08:32:58	0	9800000000	9800000000	-112.386574	342.644437	-1.163636	0.680177	40.582872	-0.062572	-1.177383	105.987745
2021-05-22	08:32:58	0	9900000000	9900000000	-112.386596	345.585738	-1.161533	0.696249	40.582852	-0.064522	-1.193910	105.787744
2021-05-22	08:32:58	0	10000000000	10000000000	-112.386616	348.521170	-1.156320	0.688969	40.582830	-0.067072	-1.182433	105.581739
2021-05-22	08:32:58	0	10100000000	10100000000	-112.386635	351.449959	-1.149194	0.673160	40.582809	-0.069659	-1.182573	105.287746
2021-05-22	08:32:58	0	10200000000	10200000000	-112.386654	354.371688	-1.140310	0.683195	40.582786	-0.072846	-1.184646	105.081743
2021-05-22	08:32:58	0	10300000000	10300000000	-112.386671	357.286588	-1.131987	0.696110	40.582764	-0.075994	-1.168870	104.787750
2021-05-22	08:32:58	0	10400000000	10400000000	-112.386687	360.194411	-1.123141	0.682344	40.582740	-0.078352	-1.150066	104.581745
2021-05-22	08:32:58	0	10500000000	10500000000	-112.386702	363.095078	-1.115531	0.660596	40.582717	-0.077409	-1.135265	104.281749
2021-05-22	08:32:58	0	10600000000	10600000000	-112.386716	365.987282	-1.108482	0.652183	40.582693	-0.071291	-1.123162	103.975738
