"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Longitude"	"Throttle Position"	"Longitudinal Acceleration"	"GPS Distance"	"GPS Lateral Acceleration"	"Heading"	"Latitude"	"Lateral Acceleration"	"RPM"	"GPS Longitudinal Acceleration"	"GPS Speed"	"Number of Satellites"
2021-05-22	19:25:00	1	6300000000	5293567991	-112.384732	0.000000	0.030000	228.891213	-0.033888	269.900000	40.583141	-0.010000	0.000000	0.056689	137.000000	17.000000
2021-05-22	19:25:00	1	6400000000	5393567991	-112.384777	0.000000	0.040000	232.699811	0.000000	269.800000	40.583141	-0.010000	0.000000	0.070862	137.200000	17.000000
2021-05-22	19:25:00	1	6500000000	5493567991	-112.384823	0.000000	0.060000	236.516081	0.034011	269.900000	40.583141	0.000000	0.000000	0.127551	137.500000	17.000000
2021-05-22	19:25:00	1	6600000000	5593567991	-112.384868	0.000000	0.030000	240.343396	-0.034160	269.900000	40.583141	0.010000	0.000000	0.113379	138.100000	17.000000
2021-05-22	19:25:00	1	6700000000	5693567991	-112.384913	0.000000	0.040000	244.181492	-0.034209	269.800000	40.583141	0.020000	0.000000	0.056689	138.300000	17.000000
2021-05-22	19:25:00	1	6800000000	5793567991	-112.384959	0.000000	0.070000	248.026201	-0.034259	269.800000	40.583140	0.030000	0.000000	0.070862	138.500000	17.000000
2021-05-22	19:25:00	1	6900000000	5893567991	-112.385004	0.000000	0.030000	251.876730	0.000000	269.700000	40.583140	0.020000	0.000000	0.028345	138.800000	17.000000
2021-05-22	19:25:00	1	7000000000	5993567991	-112.385050	0.000000	0.030000	255.729310	0.102924	269.800000	40.583140	0.010000	0.000000	-0.070862	138.700000	17.000000
2021-05-22	19:25:00	1	7100000000	6093567991	-112.385096	0.000000	0.020000	259.575143	0.102627	270.000000	40.583140	0.000000	0.000000	-0.155896	138.300000	17.000000
2021-05-22	19:25:00	1	7200000000	6193567991	-112.385141	0.000000	-0.070000	263.404641	0.000000	270.100000	40.583140	0.010000	0.000000	-0.297619	137.600000	17.000000
2021-05-22	19:25:00	1	7300000000	6293567991	-112.385186	0.000000	-0.130000	267.206030	-0.067379	270.000000	40.583140	0.030000	0.000000	-0.396825	136.200000	16.000000
2021-05-22	19:25:00	1	7400000000	6393567991	-112.385231	0.000000	-0.200000	270.967273	-0.033343	269.900000	40.583140	0.030000	0.000000	-0.538549	134.800000	17.000000
2021-05-22	19:25:00	1	7500000000	6493567991	-112.385275	0.000000	-0.300000	274.676929	0.000000	269.900000	40.583140	0.050000	0.000000	-0.651927	132.400000	17.000000
2021-05-22	19:25:00	1	7600000000	6593567991	-112.385318	0.000000	-0.360000	278.324548	0.000000	269.900000	40.583140	0.050000	0.000000	-0.623583	130.200000	17.000000
2021-05-22	19:25:00	1	7700000000	6693567991	-112.385361	0.000000	-0.450000	281.911188	0.031661	269.900000	40.583140	0.050000	0.000000	-0.595238	128.000000	17.000000
2021-05-22	19:25:00	1	7800000000	6793567991	-112.385403	0.000000	-0.510000	285.438569	0.062333	270.000000	40.583140	0.030000	0.000000	-0.609410	126.000000	17.000000
2021-05-22	19:25:00	1	7900000000	6893567991	-112.385443	0.000000	-0.560000	288.906029	0.000000	270.100000	40.583140	0.020000	0.000000	-0.651927	123.700000	17.000000
2021-05-22	19:25:00	1	8000000000	6993567991	-112.385484	0.000000	-0.600000	292.309931	-0.060058	270.000000	40.583140	0.010000	0.000000	-0.666100	121.400000	17.000000
2021-05-22	19:25:00	1	8100000000	7093567991	-112.385523	0.000000	-0.640000	295.647828	0.000000	269.900000	40.583140	0.030000	0.000000	-0.722789	119.000000	17.000000
2021-05-22	19:25:00	1	8200000000	7193567991	-112.385562	0.000000	-0.670000	298.915817	0.028767	270.000000	40.583140	0.020000	0.000000	-0.736961	116.300000	17.000000
2021-05-22	19:25:00	1	8300000000	7293567991	-112.385600	0.000000	-0.690000	302.111783	0.000000	270.000000	40.583140	0.030000	0.000000	-0.722789	113.800000	17.000000
2021-05-22	19:25:00	1	8400000000	7393567991	-112.385637	0.000000	-0.710000	305.236055	0.055012	270.000000	40.583140	0.010000	0.000000	-0.765306	111.200000	17.000000
2021-05-22	19:25:00	1	8500000000	7493567991	-112.385673	0.000000	-0.760000	308.285129	0.080440	270.200000	40.583140	-0.020000	0.000000	-0.821995	108.400000	17.000000
2021-05-22	19:25:00	1	8600000000	7593567991	-112.385708	0.000000	-0.800000	311.254706	0.104284	270.300000	40.583140	-0.060000	0.000000	-0.821995	105.400000	17.000000
2021-05-22	19:25:00	1	8700000000	7693567991	-112.385744	0.000000	-0.830000	314.144520	0.101514	270.600000	40.583140	-0.080000	0.000000	-0.765306	102.600000	17.000000
2021-05-22	19:25:00	1	8800000000	7793567991	-112.385776	0.000000	-0.830000	316.958806	0.000000	270.700000	40.583140	-0.050000	0.000000	-0.736961	100.000000	17.000000
2021-05-22	19:25:00	1	8900000000	7893567991	-112.385808	0.000000	-0.850000	319.701002	-0.096369	270.600000	40.583140	-0.050000	0.000000	-0.708617	97.400000	17.000000
2021-05-22	19:25:00	1	9000000000	7993567991	-112.385840	0.000000	-0.830000	322.373885	-0.234986	270.300000	40.583141	-0.010000	0.000000	-0.666100	95.000000	17.000000
2021-05-22	19:25:00	1	9100000000	8093567991	-112.385871	0.000000	-0.800000	324.981557	-0.412735	269.600000	40.583141	0.050000	0.000000	-0.623583	92.700000	17.000000
2021-05-22	19:25:00	1	9200000000	8193567991	-112.385901	0.000000	-0.760000	327.530697	-0.537847	268.500000	40.583140	0.130000	0.000000	-0.439342	90.600000	17.000000
2021-05-22	19:25:00	1	9300000000	8293567991	-112.385931	0.000000	-0.700000	330.036716	-0.620562	267.200000	40.583140	0.240000	0.000000	-0.226757	89.600000	17.000000
2021-05-22	19:25:00	1	9400000000	8393567991	-112.385960	0.000000	-0.580000	332.518594	-0.748493	265.700000	40.583138	0.350000	0.000000	-0.141723	89.000000	17.000000
2021-05-22	19:25:00	1	9500000000	8493567991	-112.385989	0.000000	-0.480000	334.985922	-0.854707	263.800000	40.583136	0.460000	0.000000	-0.099206	88.600000	17.000000
2021-05-22	19:25:00	1	9600000000	8593567991	-112.386017	0.000000	-0.430000	337.444652	-0.829972	261.800000	40.583133	0.570000	0.000000	0.000000	88.300000	17.000000
2021-05-22	19:25:00	1	9700000000	8693567991	-112.386046	0.000000	-0.330000	339.903052	-0.832792	260.000000	40.583130	0.660000	0.000000	0.099206	88.600000	17.000000
2021-05-22	19:25:00	1	9800000000	8793567991	-112.386074	0.000000	-0.220000	342.368330	-0.858566	258.000000	40.583126	0.720000	0.000000	0.028345	89.000000	17.000000
2021-05-22	19:25:00	1	9900000000	8893567991	-112.386102	0.000000	-0.150000	344.838436	-0.856636	256.100000	40.583121	0.760000	0.000000	0.042517	88.800000	17.000000
2021-05-22	19:25:00	1	10000000000	8993567991	-112.386130	0.000000	-0.120000	347.313171	-0.883549	254.100000	40.583115	0.790000	0.000000	0.127551	89.300000	17.000000
2021-05-22	19:25:00	1	10100000000	9093567991	-112.386158	0.000000	-0.080000	349.799084	-0.843131	252.100000	40.583109	0.810000	0.000000	0.113379	89.700000	17.000000
2021-05-22	19:25:00	1	10200000000	9193567991	-112.386186	0.000000	-0.030000	352.297894	-0.869177	250.300000	40.583102	0.820000	0.000000	0.198413	90.100000	17.000000
2021-05-22	19:25:00	1	10300000000	9293567991	-112.386214	0.000000	0.000000	354.815222	-0.946426	248.200000	40.583094	0.840000	0.000000	0.255102	91.100000	16.000000
2021-05-22	19:25:00	1	10400000000	9393567991	-112.386242	0.000000	0.030000	357.355963	-0.932005	246.100000	40.583085	0.860000	0.000000	0.198413	91.900000	16.000000
2021-05-22	19:25:00	1	10500000000	9493567991	-112.386269	0.000000	0.060000	359.916148	-0.892330	244.100000	40.583075	0.900000	0.000000	0.141723	92.500000	16.000000
2021-05-22	19:25:00	1	10600000000	9593567991	-112.386296	0.000000	0.060000	362.491545	-0.896188	242.200000	40.583064	0.910000	0.000000	0.155896	92.900000	16.000000
