"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Throttle Position"	"Longitude"	"Lateral Acceleration"	"RPM"	"GPS Distance"	"GPS Lateral Acceleration"	"Longitudinal Acceleration"	"Latitude"	"GPS Longitudinal Acceleration"	"GPS Speed"	"Heading"	"Number of Satellites"
2021-05-21	21:47:00	1	7100000000	6094834802	0.000000	-112.383789	0.010000	0.000000	128.322146	0.000000	0.190000	40.583160	0.000000	91.900000	266.800000	16.000000
2021-05-21	21:47:00	1	7200000000	6194834802	0.000000	-112.383819	0.010000	0.000000	130.868303	-0.045266	0.140000	40.583159	-0.085034	91.500000	266.700000	16.000000
2021-05-21	21:47:00	1	7300000000	6294834802	0.000000	-112.383849	0.020000	0.000000	133.408106	0.045167	0.090000	40.583158	-0.028345	91.300000	266.600000	16.000000
2021-05-21	21:47:00	1	7400000000	6394834802	0.000000	-112.383879	0.010000	0.000000	135.944877	0.022583	0.080000	40.583156	0.014172	91.300000	266.900000	16.000000
2021-05-21	21:47:00	1	7500000000	6494834802	0.000000	-112.383909	-0.010000	0.000000	138.483912	0.000000	0.050000	40.583155	0.099206	91.400000	266.700000	16.000000
2021-05-21	21:47:00	1	7600000000	6594834802	0.000000	-112.383939	0.000000	0.000000	141.031889	0.045513	0.090000	40.583154	0.155896	92.000000	266.900000	16.000000
2021-05-21	21:47:00	1	7700000000	6694834802	0.000000	-112.383969	-0.010000	0.000000	143.594491	0.000000	0.120000	40.583153	0.155896	92.500000	266.900000	16.000000
2021-05-21	21:47:00	1	7800000000	6794834802	0.000000	-112.384000	0.000000	0.000000	146.172238	-0.023029	0.100000	40.583152	0.155896	93.100000	266.900000	16.000000
2021-05-21	21:47:00	1	7900000000	6894834802	0.000000	-112.384031	0.050000	0.000000	148.766462	0.023152	0.140000	40.583150	0.212585	93.600000	266.800000	16.000000
2021-05-21	21:47:00	1	8000000000	6994834802	0.000000	-112.384062	0.090000	0.000000	151.380600	0.046799	0.170000	40.583149	0.240930	94.600000	267.000000	16.000000
2021-05-21	21:47:00	1	8100000000	7094834802	0.000000	-112.384093	0.060000	0.000000	154.017025	0.023573	0.210000	40.583148	0.170068	95.300000	267.000000	16.000000
2021-05-21	21:47:00	1	8200000000	7194834802	0.000000	-112.384124	0.010000	0.000000	156.671632	0.023697	0.200000	40.583147	0.184240	95.800000	267.100000	16.000000
2021-05-21	21:47:00	1	8300000000	7294834802	0.000000	-112.384156	0.020000	0.000000	159.344232	0.023894	0.220000	40.583145	0.212585	96.600000	267.100000	16.000000
2021-05-21	21:47:00	1	8400000000	7394834802	0.000000	-112.384188	0.010000	0.000000	162.037140	0.072203	0.210000	40.583144	0.198413	97.300000	267.200000	16.000000
2021-05-21	21:47:00	1	8500000000	7494834802	0.000000	-112.384220	0.010000	0.000000	164.748623	0.048481	0.210000	40.583143	0.141723	98.000000	267.400000	16.000000
